cs,en,facet,source,source_id,doc_count,occurrences,example_lines
roh,horn,Material,amcr,HES-000945,2,2,"CTX193001369 p3 l4: mírně prohnutá podél delší osy, se čtyřmi otvory v rozích. Na vnější; CTX196006127 p1 l48: stné vně ji ho západní ho rohu stavby; terén zle je velmi nerový a"
stroj,machine,Artefact,teater,2406,2,2,CTX197402444 p1 l49: Poznámka: Pište pokud možno strojem. Na konci uveďte datum odeslání a čitelný podpis. Zprávy koreferenta komisí; CTX198402945 p1 l52: Poznámka: Pište pokud možno strojem. Na konci uveďte datum odeslání a čitelný podpis. Zprávy koreferentů a komisí vyhotovte dvojmo.
studna,water well,Feature,amcr,HES-000514,1,2,"CTX198603218 p1 l15: století. Mezi objekty č. 1 /dům/ a č. 3 /povrchová stavba/byla odkryta oválná studna, prostě vyhloubená; CTX198603218 p1 l19: z nich byla odkryta 810 cm hluboká studna, roubená na sucho loženým kamením, dosahující vnitřního"
val,rampart,Feature,amcr,HES-000534,1,2,"CTX196006127 p1 l49: pravpodobně kryje zíeeniny njakých dalších stavb. Val, který; CTX196006127 p1 l51: ný je val vnější."
zbraň,weapon,Artefact,teater,1985,1,2,"CTX192100040 p10 l46: rém byl vydán nález nku zbrani; CTX192100040 p10 l56: nebyl odveden, t.j. každý, o kterém byl vydán nález nku zbrani"
zásobnice,storage vessel,Artefact,amcr,HES-000767,1,2,"CTX201601688 p2 l33: zásobnice, vše 14. -15. stol.; CTX201601688 p3 l47: zásobnice + 3 zl. okrajů"
ant,anta,Artefact,teater,1793,1,1,"CTX192100040 p8 l31: "" Holonohy"" a po bojišti bitvy u Lodenice / dle dějin Fi ant .ľalackého/"""
bojiště,battlefield,Activity Area,amcr,HES-000042,1,1,"CTX192100040 p8 l31: "" Holonohy"" a po bojišti bitvy u Lodenice / dle dějin Fi ant .ľalackého/"""
brousek,whetstone,Artefact,amcr,HES-000803,1,1,"CTX195603828 p1 l32: s 2 železnými nožíky a brouskem, a pohřeb dítěte s esovitou"
depot,hoard,Activity Area,amcr,HES-000051,1,1,"CTX196300443 p1 l17: v Blovicích depot z rShraní Bda BD v Libákovicích a mohylové bronzy z Járova.; CTX196300443 p1 l35: Libákovice_- bronz.depot z rozhraní střední a mladší d.bronz., publ."
jehlice,clothing pin,Artefact,amcr,HES-000699,1,1,"CTX196300443 p1 l33: Jarov - bronz, terčoví tá jehlice, 2 pečetítkové j ehlic e, tyčink. nátamek"
jez,weir,Activity Area,amcr,HES-000052,1,1,CTX197901442 p1 l4: Vysoký jez .
jáma,pit,Feature,amcr,HES-000441,1,1,"CTX198603218 p1 l10: ho typu s prostým otevřeným ohništěm, zásobní jámou, svahovitou vstupní šíjí a kamennou plentou podél"
kachel,stove tile,Artefact,amcr,HES-000736,1,1,CTX198402945 p2 l1: vyskytují se pozdně renesanční kachle. Bylo by velmi lákavé
kleště,pliers,Artefact,amcr,HES-000797,1,1,CTX199603106 p6 l18: pilíře s důlky pro uchycení kvádrů do zednických kleští. Pohled
krajina,landscape,Activity Area,amcr,HES-000117,1,1,CTX192100040 p13 l15: krajiny kolem potoka K a č á k u ■ na lukách č.kat. 222 a 222a?
kůl,pole,Artefact,amcr,HES-000737,1,1,"CTX195603828 p1 l22: a nálezy , příčně členěný zídkou a řadou kůlů.e nutno zde rozlišit"
luk,bow,Artefact,amcr,HES-000823,1,1,"CTX193001369 p3 l7: odrazem tětivy luku. Rozměry : d - 114mm/ při okrajích 111 mm/ , š -"
mazanice,daub,Material,amcr,HES-000911,1,1,"CTX201601688 p3 l51: mazanice, váha 182,1g."
mezník,boundary stone,Feature,teater,1675,1,1,CTX193001369 p24 l2: P& /Mezník
mince,coin,Artefact,amcr,HES-000794,1,1,"CTX192100040 p5 l35: Mince , které jsetbyl vykopal"
náhrdelník,necklace,Artefact,amcr,HES-000835,1,1,"CTX195603828 p1 l33: bronzovou záušničkou ,perlovým náhrdelníkem a částí textilie."
nástroj,tool,Artefact,teater,2085,1,1,"CTX196300443 p1 l31: ojedinělé kam. nástroje - Plo víc e-Hradiš tě. Spálené. Poříčí.,. Ralov, dí-"
ohniště,fireplace,Feature,amcr,HES-000423,1,1,"CTX198603218 p1 l10: ho typu s prostým otevřeným ohništěm, zásobní jámou, svahovitou vstupní šíjí a kamennou plentou podél"
opevnění,fortification,Feature,teater,1619,1,1,CTX195603828 p1 l14: výzkumnou metodou zjištěn charakter opevnění přemyslovského
ozdoba,adornment,Artefact,amcr,HES-000834,1,1,CTX195603828 p1 l30: byla bez milodarů a bez ozdob. ' jedné čtvrtiny byly přiloženy
oštěp,javelin,Artefact,teater,2001,1,1,CTX196300443 p1 l37: Vrtěšíce - ojeď.nález bronz.oštěpu
palác,palace,Feature,amcr,HES-000481,1,1,CTX199603106 p5 l24: - Mannsfeldském paláci čp. 189/1) a raně gotické zástavby
pazourek,flint,Material,teater,2512,1,1,"CTX193001369 p3 l37: směrem k míse, byly dva pazourky. 8.neg.453-156. Tb.XV. ."
pec,kiln,Feature,amcr,HES-000477,1,1,"CTX199405706 p1 l5: OKOL: kopání základu hrnčíř, pece. ULOŽ: 7. LIT: Kalina b. d. A,"
pluh,plow,Artefact,teater,2158,1,1,CTX192100040 p4 l3: špička pluhu při orání vždy Vynesla na povrch nějaký eníz.
popel,ash,Artefact,teater,1943,1,1,"CTX192100040 p4 l8: spoustu střepin z nádob, popel dřevěnný a rozličné kůstky.Nádoby J soux"
pánev,pan,Artefact,amcr,HES-000720,1,1,CTX193001369 p3 l36: větší spolu s malým džbánkem byly přikryty mísou. Po levé straně pánve
sedlo,saddle,Artefact,teater,1901,1,1,CTX195704328 p1 l35: byl dále nalezen kamenný únětický mlat se žlábkovým sedlem (délka
silnice,road,Activity Area,teater,1416,1,1,"CTX198603218 p1 l2: 1980-81 - KULT: Středověk. LOK: ZSV Kravín, ca 6,5km JV od Tábora; Ikm sev. od silnice"
sima,sima,Artefact,teater,1807,1,1,CTX192100040 p15 l7: Pozdější SIMa: 431
tvrz,fortified house,Activity Area,teater,1437,1,1,"CTX201601688 p2 l14: pustý (Musil, F., Svoboda, L. 1998: Hrady zámky a tvrze okresu Rychnov nad Kněžnou, s."
uhlík,charcoal,Artefact,teater,1950,1,1,CTX198402945 p1 l47: a ke zdivu přiléhá šedá hlinito-jílovitá vrstva s četnými uhlíky
urbář,urbarium,Artefact,teater,2270,1,1,"CTX192100040 p3 l17: jest psáno,že * dle urbáře kláštera Strahovského z r.1416. /Erben, Reg. 106/"
usedlost,farmstead,Activity Area,teater,1454,1,1,CTX199405706 p1 l4: 504/1 DAT: 1820. KULT: 7. LOK: Bubníkova usedlost. NALEZ: kostr. hrob.
vápno,quicklime,Material,amcr,HES-000955,1,1,"CTX199603106 p3 l7: písku. Přestože opticky nevypadá podíl vápna v maltě jako výrazný,"
věž,tower,Feature,amcr,HES-000509,1,1,CTX199603106 p5 l10: a pi 1ířem nesoucím Staroměstskou mosteckou věž by činí 1 zhruba 19 m.
zámek,lock,Artefact,amcr,HES-000817,1,1,"CTX201601688 p2 l14: pustý (Musil, F., Svoboda, L. 1998: Hrady zámky a tvrze okresu Rychnov nad Kněžnou, s."
