cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
technická keramika,technical ceramics,amcr,HES-000774,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tesák,dussack,amcr,HES-000793,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
trám,beam,amcr,HES-000816,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tyglík,crucible,amcr,HES-000772,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
tyčinka/váleček,rod/log,amcr,HES-000765,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
třmen,stirrup,amcr,HES-000671,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
udidlo,bridle bit,amcr,HES-000672,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
uhlíky/popel,charcoal/ash,amcr,HES-000781,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
valoun,pebble,amcr,HES-000833,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vejce,eggshell,amcr,HES-000646,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek,sample,amcr,HES-000818,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek antrakologický,anthracological sample,amcr,HES-000763,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek dendrochronologický,dendrochronological sample,amcr,HES-000758,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek geologický,geological sample,amcr,HES-000685,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek malakologický,malacological sample,amcr,HES-000686,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek paleobotanický,palaeobotanical sample,amcr,HES-000698,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek palynologický,palynological sample,amcr,HES-000692,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek pedologický,pedological sample,amcr,HES-000697,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vzorek pro radiokarbonové datování,radiocarbon dating sample,amcr,HES-000759,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
váza,vase,amcr,HES-000841,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
vědro/situla,bucket/situla,amcr,HES-000819,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
zavazadlo,luggage,amcr,HES-000638,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zbraň chladná,cold weapon,amcr,HES-000713,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zbraň palná,firearm,amcr,HES-000649,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek keramiky,potsherd,amcr,HES-000705,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek kosti,bone fragment,amcr,HES-000639,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zlomek mazanice,daub fragment,amcr,HES-000706,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zub,tooth,amcr,HES-000647,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zámek,lock,amcr,HES-000817,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
zápona,clasp,amcr,HES-000637,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
zásobnice,storage vessel,amcr,HES-000767,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
záušnice,temple ring,amcr,HES-000838,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží,weight,amcr,HES-000718,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží rybářské,net weight,amcr,HES-000721,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
závaží tkalcovské,loom weight,amcr,HES-000723,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
čepel/čepelka,blade/small blade,amcr,HES-000662,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
člun,boat,amcr,HES-000744,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
řetízek,chain necklace,amcr,HES-000756,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
řetěz,chain,amcr,HES-000814,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šavle,sabre,amcr,HES-000791,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
škrabadlo,endscraper,amcr,HES-000660,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šídlo,awl,amcr,HES-000827,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
šíp/šipka/hrot šípu/šipky,arrow/arrowhead,amcr,HES-000792,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
žernov/mlýnský kámen,quern,amcr,HES-000725,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
žeton,token,amcr,HES-000762,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
HaD–LtA,HaD–LtA,amcr,HES-000309,obdobi,období,Chronology,heslar:obdobi,0
aurignacien,Aurignacian,amcr,HES-000262,obdobi,období,Chronology,heslar:obdobi,0
badenská kultura,Baden Culture,amcr,HES-000317,obdobi,období,Chronology,heslar:obdobi,0
billendorfská kultura,Billendorf Culture,amcr,HES-000330,obdobi,období,Chronology,heslar:obdobi,0
billendorfská kultura (HaC),Billendorf Culture (HaC),amcr,HES-000377,obdobi,období,Chronology,heslar:obdobi,0
bohunicien,Bohunician,amcr,HES-000261,obdobi,období,Chronology,heslar:obdobi,0
bošácká skupina,Bošáca Group,amcr,HES-000357,obdobi,období,Chronology,heslar:obdobi,0
bylanská kultura,Bylany Culture,amcr,HES-000331,obdobi,období,Chronology,heslar:obdobi,0
chamská kultura,Cham Culture,amcr,HES-000371,obdobi,období,Chronology,heslar:obdobi,0
chebská kultura,Cheb Culture,amcr,HES-000294,obdobi,období,Chronology,heslar:obdobi,0
datace neurčena,unspecified dating,amcr,HES-000316,obdobi,období,Chronology,heslar:obdobi,0
doba bronzová,Bronze Age,amcr,HES-000390,obdobi,období,Chronology,heslar:obdobi,0
doba bronzová–halštatská,Bronze Age–Hallstatt Period,amcr,HES-000384,obdobi,období,Chronology,heslar:obdobi,0
doba halštatská,Hallstatt Period,amcr,HES-000354,obdobi,období,Chronology,heslar:obdobi,0
doba halštatská–laténská,Hallstatt–La Tène Period,amcr,HES-000334,obdobi,období,Chronology,heslar:obdobi,0
doba laténská,La Tène Period,amcr,HES-000254,obdobi,období,Chronology,heslar:obdobi,0
doba laténská–římská,La Tène–Roman Period,amcr,HES-000288,obdobi,období,Chronology,heslar:obdobi,0
doba stěhování národů,Migration Period,amcr,HES-000342,obdobi,období,Chronology,heslar:obdobi,0
doba římská,Roman Period,amcr,HES-000335,obdobi,období,Chronology,heslar:obdobi,0
doba římská–stěhování národů,Roman–Migration Period,amcr,HES-000346,obdobi,období,Chronology,heslar:obdobi,0
dobrodzieńská skupina,Dobrodzień Group,amcr,HES-000344,obdobi,období,Chronology,heslar:obdobi,0
eneolit,Eneolithic,amcr,HES-000285,obdobi,období,Chronology,heslar:obdobi,0
epigravettien,Epigravettian,amcr,HES-000263,obdobi,období,Chronology,heslar:obdobi,0
epimagdalénien,Epimagdalenian,amcr,HES-000265,obdobi,období,Chronology,heslar:obdobi,0
gravettien,Gravettian,amcr,HES-000311,obdobi,období,Chronology,heslar:obdobi,0
halštatská mohylová kultura,Hallstatt Tumulus Culture,amcr,HES-000332,obdobi,období,Chronology,heslar:obdobi,0
hatvanská kultura,Hatvan Culture,amcr,HES-000320,obdobi,období,Chronology,heslar:obdobi,0
horákovská kultura,Horákov Culture,amcr,HES-000307,obdobi,období,Chronology,heslar:obdobi,0
industriální období,Industrial Period,amcr,HES-000347,obdobi,období,Chronology,heslar:obdobi,0
industriální období 1,Industrial Period 1,amcr,HES-000348,obdobi,období,Chronology,heslar:obdobi,0
industriální období 2,Industrial Period 2,amcr,HES-000349,obdobi,období,Chronology,heslar:obdobi,0
jevišovická kultura,Jevišovice Culture,amcr,HES-000373,obdobi,období,Chronology,heslar:obdobi,0
jordanovská kultura,Jordanów Culture,amcr,HES-000287,obdobi,období,Chronology,heslar:obdobi,0
knovízská kultura,Knovíz Culture,amcr,HES-000293,obdobi,období,Chronology,heslar:obdobi,0
kobylská skupina,Kobyly Group,amcr,HES-000259,obdobi,období,Chronology,heslar:obdobi,0
krumlovien,Krumlovian,amcr,HES-000314,obdobi,období,Chronology,heslar:obdobi,0
kultura Chlopice-Veselé,Chlopice-Veselé Culture,amcr,HES-000352,obdobi,období,Chronology,heslar:obdobi,0
kultura Kosihy-Čaka,Kosihy-Čaka Culture,amcr,HES-000351,obdobi,období,Chronology,heslar:obdobi,0
kultura Retz-Bajč-Křepice,Retz-Bajč-Křepice (Furchenstich) Culture,amcr,HES-000367,obdobi,období,Chronology,heslar:obdobi,0
kultura kulovitých amfor,Globular Amphora Culture,amcr,HES-000279,obdobi,období,Chronology,heslar:obdobi,0
kultura münchshöfenská,Münchshofen Culture,amcr,HES-000389,obdobi,období,Chronology,heslar:obdobi,0
kultura nálevkovitých pohárů,Funnel Beaker Culture,amcr,HES-000368,obdobi,období,Chronology,heslar:obdobi,0
kultura przeworská,Przeworsk Culture,amcr,HES-000257,obdobi,období,Chronology,heslar:obdobi,0
kultura púchovská,Púchov Culture,amcr,HES-000256,obdobi,období,Chronology,heslar:obdobi,0
kultura s lineární keramikou,Linear Pottery Culture,amcr,HES-000269,obdobi,období,Chronology,heslar:obdobi,0
kultura s moravskou malovanou keramikou 1,Moravian Painted Ware Culture 1,amcr,HES-000362,obdobi,období,Chronology,heslar:obdobi,0
kultura s moravskou malovanou keramikou 2,Moravian Painted Ware Culture 2,amcr,HES-000363,obdobi,období,Chronology,heslar:obdobi,0
kultura s vypíchanou keramikou,Stroke Pottery Culture,amcr,HES-000361,obdobi,období,Chronology,heslar:obdobi,0
kultura se šňůrovou keramikou,Corded Ware Culture,amcr,HES-000375,obdobi,období,Chronology,heslar:obdobi,0
kultura zvoncovitých pohárů,Bell Beaker Culture,amcr,HES-000318,obdobi,období,Chronology,heslar:obdobi,0
lengyelská kultura,Lengyel Culture,amcr,HES-000306,obdobi,období,Chronology,heslar:obdobi,0
lužická kultura,Lusatian Culture,amcr,HES-000337,obdobi,období,Chronology,heslar:obdobi,0
magdalénien,Magdalenian,amcr,HES-000283,obdobi,období,Chronology,heslar:obdobi,0
mezolit,Mesolithic,amcr,HES-000275,obdobi,období,Chronology,heslar:obdobi,0
michelsberská kultura,Michelsberg Culture,amcr,HES-000365,obdobi,období,Chronology,heslar:obdobi,0
micoquien,Micoquien,amcr,HES-000292,obdobi,období,Chronology,heslar:obdobi,0
milavečská kultura,Milavče Culture,amcr,HES-000339,obdobi,období,Chronology,heslar:obdobi,0
miškovický typ,Míškovice Type,amcr,HES-000282,obdobi,období,Chronology,heslar:obdobi,0
mladší doba bronzová,Late Bronze Age,amcr,HES-000290,obdobi,období,Chronology,heslar:obdobi,0
mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),amcr,HES-000310,obdobi,období,Chronology,heslar:obdobi,0
mladší doba stěhování národů,Late Migration Period,amcr,HES-000345,obdobi,období,Chronology,heslar:obdobi,0
mladší doba římská,Late Roman Period,amcr,HES-000341,obdobi,období,Chronology,heslar:obdobi,0
mladší eneolit,Late Eneolithic,amcr,HES-000280,obdobi,období,Chronology,heslar:obdobi,0
mladší paleolit,Upper Palaeolithic,amcr,HES-000315,obdobi,období,Chronology,heslar:obdobi,0
mladší/pozdní eneolit,Late/Final Eneolithic,amcr,HES-000374,obdobi,období,Chronology,heslar:obdobi,0
mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),amcr,HES-000255,obdobi,období,Chronology,heslar:obdobi,0
mladší–pozdní eneolit,Late–Final Eneolithic,amcr,HES-001479,obdobi_kat,období (kategorie),Chronology,heslar:obdobi_kat,0
moustérien,Mousterian,amcr,HES-000312,obdobi,období,Chronology,heslar:obdobi,0
neolit,Neolithic,amcr,HES-000267,obdobi,období,Chronology,heslar:obdobi,0
neolit–eneolit,Neolithic–Eneolithic,amcr,HES-000387,obdobi,období,Chronology,heslar:obdobi,0
nitranská kultura,Nitra Culture,amcr,HES-000359,obdobi,období,Chronology,heslar:obdobi,0
novověk,Modern Period,amcr,HES-000252,obdobi,období,Chronology,heslar:obdobi,1
novověk 1,Modern Period 1,amcr,HES-000381,obdobi,období,Chronology,heslar:obdobi,0
novověk 2,Modern Period 2,amcr,HES-000382,obdobi,období,Chronology,heslar:obdobi,0
novověk–industriální období,Modern–Industrial Period,amcr,HES-000350,obdobi,období,Chronology,heslar:obdobi,0
nynická kultura,Nynice Culture,amcr,HES-000299,obdobi,období,Chronology,heslar:obdobi,0
období popelnicových polí,Urnfield Period,amcr,HES-000281,obdobi,období,Chronology,heslar:obdobi,0
oberlauterbašská skupina,Oberlauterbach Group,amcr,HES-000305,obdobi,období,Chronology,heslar:obdobi,0
ohrozimský typ,Ohrozim Type,amcr,HES-000369,obdobi,období,Chronology,heslar:obdobi,0
ostroměřská skupina,Ostroměř Group,amcr,HES-000266,obdobi,období,Chronology,heslar:obdobi,0
paleolit,Palaeolithic,amcr,HES-000253,obdobi,období,Chronology,heslar:obdobi,0
paleolit–mezolit,Palaeolithic–Mesolithic,amcr,HES-000284,obdobi,období,Chronology,heslar:obdobi,0
platěnická kultura,Platěnice Culture,amcr,HES-000300,obdobi,období,Chronology,heslar:obdobi,0
plaňanský typ,Plaňany Type,amcr,HES-000393,obdobi,období,Chronology,heslar:obdobi,0
podmokelská skupina,Podmokly Group,amcr,HES-000329,obdobi,období,Chronology,heslar:obdobi,0
podolská kultura,Podolí Culture,amcr,HES-000353,obdobi,období,Chronology,heslar:obdobi,0
pozdní doba bronzová,Final Bronze Age,amcr,HES-000383,obdobi,období,Chronology,heslar:obdobi,0
pozdní doba laténská (LtD),Final La Tène Period (LtD),amcr,HES-000258,obdobi,období,Chronology,heslar:obdobi,0
pozdní paleolit,Epipalaeolithic,amcr,HES-000264,obdobi,období,Chronology,heslar:obdobi,0
pozdní středohradištní období,Final Middle Hillfort Period,amcr,HES-000278,obdobi,období,Chronology,heslar:obdobi,0
pozdní středověk,Late Middle Ages,amcr,HES-000271,obdobi,období,Chronology,heslar:obdobi,0
pozdněhradištní období,Final Hillfort Period,amcr,HES-000326,obdobi,období,Chronology,heslar:obdobi,0
pravěk,prehistory,amcr,HES-000289,obdobi,období,Chronology,heslar:obdobi,0
protoúnětická kultura,Proto-Únětice Culture,amcr,HES-000391,obdobi,období,Chronology,heslar:obdobi,0
přechod pozdní středověk/novověk,Late Middle Ages/Modern Transition,amcr,HES-000272,obdobi,období,Chronology,heslar:obdobi,1
přechod raný/vrcholný středověk,Early/High Middle Ages Transition,amcr,HES-000270,obdobi,období,Chronology,heslar:obdobi,1
rané mladohradištní období,Early Late Hillfort Period,amcr,HES-000356,obdobi,období,Chronology,heslar:obdobi,0
rané středohradištní období,Early Middle Hillfort Period,amcr,HES-000277,obdobi,období,Chronology,heslar:obdobi,0
raný středověk,Early Middle Ages,amcr,HES-000385,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 1,Early Middle Ages 1,amcr,HES-000386,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 2,Early Middle Ages 2,amcr,HES-000301,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 2–4,Early Middle Ages 2–4,amcr,HES-000276,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 3,Early Middle Ages 3,amcr,HES-000379,obdobi,období,Chronology,heslar:obdobi,0
raný středověk 4,Early Middle Ages 4,amcr,HES-000325,obdobi,období,Chronology,heslar:obdobi,0
saská lužická kultura,Saxonian-Lusatian Culture,amcr,HES-000388,obdobi,období,Chronology,heslar:obdobi,0
schusseriedská kultura,Schussenried Culture,amcr,HES-000364,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura,Silesian-Platěnice Culture,amcr,HES-000295,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura (HaB),Silesian-Platěnice Culture (HaB),amcr,HES-000296,obdobi,období,Chronology,heslar:obdobi,0
slezskoplatěnická kultura (HaC–D),Silesian–Platěnice Culture (HaC–D),amcr,HES-000378,obdobi,období,Chronology,heslar:obdobi,0
slezská kultura,Silesian Culture,amcr,HES-000298,obdobi,období,Chronology,heslar:obdobi,0
starší doba bronzová,Early Bronze Age,amcr,HES-000319,obdobi,období,Chronology,heslar:obdobi,0
starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),amcr,HES-000376,obdobi,období,Chronology,heslar:obdobi,0
starší doba stěhování národů,Early Migration Period,amcr,HES-000343,obdobi,období,Chronology,heslar:obdobi,0
starší doba římská,Early Roman Period,amcr,HES-000336,obdobi,období,Chronology,heslar:obdobi,0
starší eneolit,Early Eneolithic,amcr,HES-000366,obdobi,období,Chronology,heslar:obdobi,0
starší neolit,Early Neolithic,amcr,HES-000268,obdobi,období,Chronology,heslar:obdobi,0
starší paleolit,Lower Palaeolithic,amcr,HES-000291,obdobi,období,Chronology,heslar:obdobi,0
střední doba bronzová,Middle Bronze Age,amcr,HES-000322,obdobi,období,Chronology,heslar:obdobi,0
střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),amcr,HES-000333,obdobi,období,Chronology,heslar:obdobi,0
střední eneolit,Middle Eneolithic,amcr,HES-000370,obdobi,období,Chronology,heslar:obdobi,0
střední paleolit,Middle Palaeolithic,amcr,HES-000274,obdobi,období,Chronology,heslar:obdobi,0
střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),amcr,HES-001447,obdobi,období,Chronology,heslar:obdobi,0
střední–mladší neolit,Middle–Late Neolithic,amcr,HES-000360,obdobi,období,Chronology,heslar:obdobi,0
středodunajská mohylová kultura,Middle-Danubian Tumulus Culture,amcr,HES-000323,obdobi,období,Chronology,heslar:obdobi,0
středověk,Middle Ages,amcr,HES-000380,obdobi,období,Chronology,heslar:obdobi,0
středověk–novověk,Middle Ages–Modern Period,amcr,HES-000392,obdobi,období,Chronology,heslar:obdobi,0
szeletien,Szeletian,amcr,HES-000260,obdobi,období,Chronology,heslar:obdobi,0
taubachien,Taubachian,amcr,HES-000313,obdobi,období,Chronology,heslar:obdobi,0
turnovský typ,Turnov type,amcr,HES-000308,obdobi,období,Chronology,heslar:obdobi,0
velatická kultura,Velatice Culture,amcr,HES-000338,obdobi,období,Chronology,heslar:obdobi,0
vrcholný středověk,High Middle Ages,amcr,HES-000328,obdobi,období,Chronology,heslar:obdobi,1
vrcholný středověk–novověk,High Middle Ages–Modern Period,amcr,HES-000273,obdobi,období,Chronology,heslar:obdobi,0
vrcholný–pozdní středověk,High–Late Middle Ages,amcr,HES-000327,obdobi,období,Chronology,heslar:obdobi,0
vyspělé mladohradištní období,Advanced Late Hillfort Period,amcr,HES-000303,obdobi,období,Chronology,heslar:obdobi,0
vyspělé středohradištní období,Advanced Middle Hillfort Period,amcr,HES-000302,obdobi,období,Chronology,heslar:obdobi,0
věteřovská kultura,Věteřov Culture,amcr,HES-000321,obdobi,období,Chronology,heslar:obdobi,0
zemědělský pravěk,farming prehistory,amcr,HES-000304,obdobi,období,Chronology,heslar:obdobi,0
únětická kultura,Únětice Culture,amcr,HES-000358,obdobi,období,Chronology,heslar:obdobi,0
časná doba laténská (LtA),Early La Tène Period (LtA),amcr,HES-000355,obdobi,období,Chronology,heslar:obdobi,0
časný eneolit,Proto-Eneolithic,amcr,HES-000286,obdobi,období,Chronology,heslar:obdobi,0
českofalcká mohylová kultura,Bohemian-Palatinate Tumulus Culture,amcr,HES-000324,obdobi,období,Chronology,heslar:obdobi,0
