cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
prkno/fošna,board/plank,amcr,HES-000687,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
projektil/kule/munice,projectile/bullet/ammunition,amcr,HES-000755,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
prsten,finger ring,amcr,HES-000669,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
průvlečka,clothing buckle,amcr,HES-000683,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
pánev,pan,amcr,HES-000720,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
písemnost,written document,amcr,HES-000839,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přechovávaná přírodnina,natural object,amcr,HES-000643,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přeslen,spindle whorl,amcr,HES-000809,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přezka,buckle,amcr,HES-000732,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
přívěsek/závěsek,pendant,amcr,HES-000837,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
rakev,coffin,amcr,HES-000704,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rolnička,jingle bell,amcr,HES-000701,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rostlinné makrozbytky,plant macro-remain,amcr,HES-000644,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
ruda,ore,amcr,HES-000830,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
rydlo,graver,amcr,HES-000810,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
růženec/medailon,rosary/medallion,amcr,HES-000702,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,2
sekera,axe,amcr,HES-000802,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
sekeromlat/mlat,hammer axe,amcr,HES-000789,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,1
sekáč,chopper,amcr,HES-000801,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
skořápka plodu,fruit shell/nutshell,amcr,HES-000754,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
slitek,bloom,amcr,HES-000831,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást hrobu,grave component,amcr,HES-000673,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást oděvu,costume component,amcr,HES-000674,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást pluhu,plow component,amcr,HES-000658,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást postroje,harness component,amcr,HES-000747,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást vozu,cargo vehicle component,amcr,HES-000703,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást zbroje,armor component,amcr,HES-000648,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
součást štítu,shield part,amcr,HES-000790,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
spona,fibula,amcr,HES-000733,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
srp,sickle,amcr,HES-000659,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stavební keramika,construction ceramics,amcr,HES-000748,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stavební/spojovací prvek,structural element component,amcr,HES-000757,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
stilus,stylus,amcr,HES-000811,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
struska,slag,amcr,HES-000645,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
střešní krytina,roofing tile,amcr,HES-000815,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
surovina,raw material,amcr,HES-000832,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
talíř,plate,amcr,HES-000766,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
