document_id,keyword1,score1,keyword2,score2,keyword3,score3,keyword4,score4,keyword5,score5,keyword6,score6,keyword7,score7,keyword8,score8,keyword9,score9,keyword10,score10,keyword11,score11,keyword12,score12,keyword13,score13,keyword14,score14,keyword15,score15,keyword16,score16,keyword17,score17,keyword18,score18,keyword19,score19,keyword20,score20
CTX198501504,hradiště,4.0,štěpánov,2.0,štěpánovský,2.0,hora,2.0,milimetr,2.0,metr,2.0,zpráva,2.0,koreferent,2.0,komise,2.0,průzkum,2.0,most,2.0,rok,2.0,kat,1.0,území,1.0,obec,1.0,trať,1.0,okres,1.0,teplice,1.0,kultura,1.0,druh,1.0
CTX198601557,plzeň,3.0,kssppop,2.0,sonda,2.0,hlášení,1.0,archeologika,1.0,činnost,1.0,lenka,1.0,krušinová,1.0,hrad,1.0,okrázek,1.0,klatovy,1.0,listopad,1.0,smysl,1.0,závěr,1.0,kontrolní,1.0,den,1.0,zahájený,1.0,dodavatel,1.0,zud,1.0,výkop,1.0
CTX198700260,st,1.0,kreis,1.0,ot,1.0,bornay,1.0,eichot,1.0,hulken,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTX198801024,češnovice,3.0,milimetr,2.0,číslo,2.0,plzeň,2.0,zliv,1.0,okrázek,1.0,český,1.0,budějovice,1.0,kult,1.0,doba,1.0,halštatský,1.0,časný,1.0,jz,1.0,můstek,1.0,pištínský,1.0,byšinský,1.0,vltava,1.0,potok,1.0,pozdní,1.0,menšínlez,1.0
CTX198803737,hora,6.0,výzkum,4.0,praha,4.0,kašperský,3.0,milimetr,3.0,dr,3.0,středověký,2.0,zlatomlýn,2.0,poloha,2.0,suchý,2.0,kat,2.0,úz,2.0,okres,2.0,pi,2.0,kašp,2.0,druh,2.0,rok,2.0,autor,2.0,waldhauser,2.0,jiří,2.0
CTX199001161,čáslav,4.0,povrchový,3.0,průzkum,3.0,druh,3.0,metr,3.0,kutná,2.0,hora,2.0,milimetr,2.0,pole,2.0,mladohradištní,2.0,autor,2.0,petr,2.0,čáslavský,2.0,áslav,1.0,daa,1.0,ilc,1.0,katastrální,1.0,územ,1.0,administrativní,1.0,obec,1.0
CTX199004625,prachatice,3.0,okrázek,1.0,dhc,1.0,kult,1.0,pozdní,1.0,středověk,1.0,novověk,1.0,lok,1.0,sklep,1.0,budova,1.0,okresní,1.0,muzeum,1.0,okol,1.0,lezený,1.0,oprava,1.0,vodovod,1.0,nalez,1.0,střep,1.0,stěna,1.0,zdobený,1.0
CTX199104236,čáslav,5.0,výzkum,3.0,čp,3.0,kutná,3.0,hora,3.0,druh,3.0,dům,3.0,náměstí,2.0,plocha,2.0,zbořený,2.0,rok,2.0,autor,2.0,ík,2.0,místo,2.0,základní,2.0,zahájení,1.0,cl,1.0,žižkův,1.0,okrázek,1.0,katastrální,1.0
CTX199300991A,číslo,18.0,hora,12.0,cimburk,12.0,kutná,8.0,sonda,7.0,objekt,7.0,plán,7.0,profil,5.0,kula,2.0,sz,2.0,jv,2.0,skica,2.0,jz,2.0,iia,2.0,část,2.0,osj,1.0,obj,1.0,da,1.0,tný,1.0,kii,1.0
CTX199405712,as,2.0,oselce,1.0,okrázek,1.0,plzeň,1.0,jih,1.0,dat,1.0,čl,1.0,dř,1.0,kult,1.0,mladý,1.0,siř,1.0,lok,1.0,va,1.0,hřbit,1.0,nalez,1.0,žár,1.0,hrob,1.0,urna,1.0,žel,1.0,zbraň,1.0
CTX199605339,přesný,13.0,autor,11.0,nález,10.0,datace,10.0,aktivita,10.0,kultura,10.0,lok,9.0,akce,8.0,druh,8.0,záp,8.0,areál,8.0,přes,8.0,iadm,7.0,rok,6.0,poznámka,6.0,rubrika,5.0,číslo,5.0,lokalizace,5.0,bod,5.0,materiál,5.0
CTX199906938B,den,13.0,plán,7.0,metr,4.0,rok,4.0,pause,3.0,dnei,3.0,kscept,2.0,pausa,2.0,peuse,2.0,jon,1.0,dm,1.0,cnn,1.0,člnni,1.0,sonda,1.0,kezespt,1.0,ximim,1.0,kipi,1.0,peusei,1.0,xc,1.0,dn,1.0
CTX200109576,centimetr,219.0,vrstva,218.0,stěna,161.0,ulice,158.0,objekt,154.0,nález,152.0,číslo,136.0,hloubka,129.0,popis,126.0,poloha,125.0,kkp,124.0,profil,121.0,sáč,120.0,datum,118.0,ker,116.0,husův,101.0,náměstí,89.0,zač,89.0,zl,82.0,jiří,73.0
CTX200400199,stavba,6.0,archeologický,5.0,záchranný,3.0,stavební,3.0,ústav,2.0,památkový,2.0,střední,2.0,investor,2.0,výzkum,2.0,území,2.0,beroun,2.0,mapa,2.0,situace,2.0,kladno,2.0,cn,1.0,den,1.0,pece,1.0,cecha,1.0,expertní,1.0,list,1.0
CTX200506581,mior,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTX200609629,markovice,137.0,ke,88.0,ma,87.0,hal,65.0,sv,56.0,objekt,48.0,jv,48.0,ko,42.0,sz,39.0,ka,36.0,centimetr,32.0,část,29.0,výzkum,27.0,dno,25.0,nález,24.0,jz,23.0,plán,22.0,jáma,22.0,seznam,18.0,výplň,18.0
CTX200808046,sektor,355.0,číslo,87.0,ko,72.0,objekt,70.0,keramika,70.0,velikost,64.0,hr,60.0,četnost,60.0,sonda,58.0,uhlík,58.0,mn,58.0,uloženina,56.0,praha,53.0,komponenta,51.0,část,50.0,fe,50.0,sklo,42.0,archeologický,41.0,dům,39.0,jiný,39.0
CTX200915856,kostel,46.0,chýnov,22.0,výzkum,20.0,archeologický,19.0,strana,18.0,stěna,16.0,zeď,16.0,starý,14.0,trojice,14.0,loď,14.0,světý,12.0,západní,12.0,rok,10.0,středověký,10.0,část,10.0,stavba,9.0,severní,9.0,jižní,9.0,původní,9.0,kámen,9.0
CTX201103290,hrad,30.0,hřebík,27.0,předmět,23.0,zlomek,23.0,číslo,22.0,orlík,18.0,akce,17.0,materiál,17.0,výzkum,16.0,počet,16.0,zdivo,16.0,humpolec,15.0,fototabulka,15.0,pian,14.0,průzkum,14.0,durdík,13.0,sonda,13.0,nález,13.0,detektorový,13.0,archeologický,12.0
CTX201302608,lebka,156.0,kost,119.0,skelet,112.0,postkraniální,109.0,hrob,94.0,levý,90.0,zachovaný,85.0,varieta,85.0,závěr,83.0,patologie,82.0,dítě,82.0,gracilní,81.0,pravý,70.0,léta,68.0,epifýza,65.0,poškozený,64.0,lebeční,61.0,žena,61.0,robustní,59.0,chrup,57.0
CTX201500193,mrákov,73.0,čp,51.0,kanalizace,43.0,stoka,38.0,výkop,35.0,do,28.0,profil,26.0,roh,25.0,detail,25.0,obrázek,18.0,vrata,18.0,severovýchodní,17.0,vrstva,17.0,kostel,16.0,návs,16.0,ag,16.0,severní,13.0,centimetr,13.0,okres,12.0,domažlice,12.0
CTX201601161,akce,15.0,pian,13.0,archeologický,11.0,počet,11.0,číslo,10.0,objekt,10.0,komponenta,9.0,předmět,9.0,materiál,9.0,společnost,8.0,lokalita,7.0,mapa,7.0,výkop,6.0,nález,6.0,zm,6.0,výzkum,5.0,dostavba,5.0,plocha,5.0,zip,5.0,podnik,5.0
CTX201750029,jindřichův,2.0,hradec,2.0,středověký,2.0,keramika,2.0,archiv,2.0,muzeum,1.0,inventář,1.0,uvedený,1.0,naleza,1.0,iště,1.0,pořízený,1.0,rozepsaný,1.0,samostatný,1.0,kartotéka,1.0,aú,1.0,čsav,1.0,praha,1.0,předaný,1.0,autorka,1.0,říjen,1.0
